pair_id,principle_a,principle_b,shared_surface,shared_surface_note,mechanism,mechanism_note,material_consequence,consequence_note,primary_type,secondary_types,evidence_grade,counterexample,context_dependence,confidence,disposition,dossier,journal_refs
P016,KISS,Data-Driven Design,pass,Both affect whether regular variation is clearer as data or control flow.,pass,"KISS compares a typed table and small algorithm with direct branches, rejecting either a rules engine or sprawling conditionals.",pass,The decision space uses the lower-obligation adequate representation.,Moderation,Tension,Reasoned Inference,pass,Counterexample: irregular algorithms are simpler as explicit code than callback-filled tables.,medium,uncertain,,independent-review
P017,KISS,Make Illegal States Unrepresentable,pass,Both affect complexity of a domain representation.,pass,"Precise types remove downstream branches, while KISS limits wrappers and type machinery to stable invariants whose savings repay the representation cost.",pass,The total state-handling design can shrink even when the type definition grows.,Tension,Moderation,Reasoned Inference,pass,Counterexample: mutable remote facts still need use-time checks and do not justify elaborate static encoding.,medium,uncertain,,independent-review
P018,KISS,"Parse, Don't Validate",fail,"KISS decides whole-design complexity; Parse, Don't Validate decides raw-to-trusted boundary conversion.",fail,"No repeatable causal path from applying KISS to the Parse, Don't Validate decision follows from the profiles.",fail,Either decision can change without materially changing the other's required outcome.,Independence,,,pass,Counterexample: a team can choose a direct adequate algorithm while making no decision about raw-to-trusted boundary conversion.,medium,reject,,independent-review
P019,KISS,"Tell, Don't Ask",fail,"KISS decides whole-design complexity; Tell, Don't Ask decides ownership of state-dependent operations.",fail,"No repeatable causal path from applying KISS to the Tell, Don't Ask decision follows from the profiles.",fail,Either decision can change without materially changing the other's required outcome.,Independence,,,pass,Counterexample: a team can choose a direct adequate algorithm while making no decision about ownership of state-dependent operations.,medium,reject,,independent-review
P020,KISS,Law of Demeter,fail,KISS decides whole-design complexity; Law of Demeter decides collaborator knowledge depth.,fail,No repeatable causal path from applying KISS to the Law of Demeter decision follows from the profiles.,fail,Either decision can change without materially changing the other's required outcome.,Independence,,,pass,Counterexample: a team can choose a direct adequate algorithm while making no decision about collaborator knowledge depth.,medium,reject,,independent-review
P021,KISS,Boy Scout Rule,fail,KISS decides whole-design complexity; Boy Scout Rule decides incidental cleanup scope.,fail,No repeatable causal path from applying KISS to the Boy Scout Rule decision follows from the profiles.,fail,Either decision can change without materially changing the other's required outcome.,Independence,,,pass,Counterexample: a team can choose a direct adequate algorithm while making no decision about incidental cleanup scope.,medium,reject,,independent-review
P022,YAGNI,DRY,pass,Both affect timing of a proposed shared authority or abstraction.,pass,"YAGNI blocks centralization justified by hypothetical reuse, while allowing DRY when a current domain fact already has competing authorities.",pass,Speculative abstraction is deferred without tolerating current synchronization risk.,Moderation,Tension,Reasoned Inference,pass,Counterexample: duplicated copies of one current schema need an authority before a third consumer appears.,medium,uncertain,,independent-review
P023,YAGNI,Rule of Three,pass,Both affect timing of abstraction for repeated cases.,pass,Both delay presumptive generality; concrete cases supply the current consumers and variation evidence YAGNI requires.,pass,"Abstractions are introduced later with narrower, evidence-based shapes.",Reinforcement,Sequencing,Reasoned Inference,pass,Counterexample: a fixed external standard can establish the abstraction before repeated local cases.,high,uncertain,,independent-review
P024,YAGNI,Occam's Razor,pass,Both affect unsupported future capabilities and assumptions.,pass,A capability without a current consumer rests on assumptions about future needs; deferral removes those assumptions and their entities.,pass,The present solution contains fewer speculative commitments.,Reinforcement,,Reasoned Inference,pass,Counterexample: costly irreversible decisions can make risk preparation a current requirement.,high,uncertain,,independent-review
P025,YAGNI,Principle of Least Power,fail,YAGNI decides capability timing; Principle of Least Power decides mechanism expressiveness.,fail,No repeatable causal path from applying YAGNI to the Principle of Least Power decision follows from the profiles.,fail,Either decision can change without materially changing the other's required outcome.,Independence,,,pass,Counterexample: a team can defer an unused export format while making no decision about mechanism expressiveness.,medium,reject,,independent-review
P026,YAGNI,Separation of Concerns,pass,Both affect whether to create a boundary for anticipated change.,pass,"YAGNI requires demonstrated independent rules, owners, or operations before paying for a stronger separation boundary.",pass,Speculative layers and services are postponed until their independence is current.,Moderation,,Reasoned Inference,pass,Counterexample: existing regulatory and deployment ownership can justify separation before code changes occur.,medium,uncertain,,independent-review
P027,YAGNI,Single Responsibility Principle,pass,Both affect whether predicted actors justify splitting a module.,pass,YAGNI rejects responsibility splits based only on hypothetical stakeholders; SRP proceeds when current independent actors and reasons are identifiable.,pass,One-method modules and speculative service boundaries are avoided.,Moderation,,Reasoned Inference,pass,Counterexample: two current business owners with independent release authority justify the split.,medium,uncertain,,independent-review
P028,YAGNI,Composition over Inheritance,pass,Both affect whether anticipated variation justifies a composition mechanism.,pass,YAGNI keeps fixed behavior direct until a current variation or replaceability need warrants collaborators and wiring.,pass,"Strategy, factory, and container scaffolding is not carried before use.",Moderation,,Reasoned Inference,pass,Counterexample: two active providers with independent behavior require composition now.,medium,uncertain,,independent-review
P029,YAGNI,Convention over Configuration,pass,Both affect whether to support configurable exceptions.,pass,YAGNI defers override paths for imagined exceptions while Convention supplies the current dominant default.,pass,Configuration surface stays narrow until a real exception appears.,Moderation,,Reasoned Inference,pass,Counterexample: a current tenant with a legitimate exception requires an explicit override.,medium,uncertain,,independent-review
P030,YAGNI,Unix Philosophy,pass,Both affect whether decomposition is justified by current composition needs.,pass,YAGNI rejects splitting a cohesive tool solely for hypothetical reuse or pipeline consumers.,pass,Process and interface overhead is postponed until composability has a present consumer.,Moderation,,Reasoned Inference,pass,Counterexample: two current workflows already reuse the same filter independently.,medium,uncertain,,independent-review
P031,YAGNI,"Functional Core, Imperative Shell",fail,"YAGNI decides capability timing; Functional Core, Imperative Shell decides placement of decisions and effects.",fail,"No repeatable causal path from applying YAGNI to the Functional Core, Imperative Shell decision follows from the profiles.",fail,Either decision can change without materially changing the other's required outcome.,Independence,,,pass,Counterexample: a team can defer an unused export format while making no decision about placement of decisions and effects.,medium,reject,,independent-review
P032,YAGNI,Negative Code,pass,Both affect lifecycle treatment of unneeded capability.,pass,YAGNI prevents new speculative capability; Negative Code removes already-owned machinery once its contract can be retired safely.,pass,Together they reduce both incoming and accumulated unneeded code.,Complementary,Sequencing,Reasoned Inference,pass,Counterexample: a live compatibility promise prevents deletion even though no new features should be added.,medium,uncertain,,independent-review
P033,YAGNI,Dead Code Elimination,fail,YAGNI decides capability timing; Dead Code Elimination decides artifact liveness.,fail,No repeatable causal path from applying YAGNI to the Dead Code Elimination decision follows from the profiles.,fail,Either decision can change without materially changing the other's required outcome.,Independence,,,pass,Counterexample: a team can defer an unused export format while making no decision about artifact liveness.,medium,reject,,independent-review
P034,YAGNI,Refactoring Toward Primitives,fail,YAGNI decides capability timing; Refactoring Toward Primitives decides custom-versus-existing capability.,fail,No repeatable causal path from applying YAGNI to the Refactoring Toward Primitives decision follows from the profiles.,fail,Either decision can change without materially changing the other's required outcome.,Independence,,,pass,Counterexample: a team can defer an unused export format while making no decision about custom-versus-existing capability.,medium,reject,,independent-review
P035,YAGNI,Dependency Inversion Principle,pass,Both affect whether provider portability merits a policy-owned port.,pass,"YAGNI requires real volatility, variation, or isolation need before DIP introduces a contract and adapter.",pass,Hypothetical provider swaps do not create interface and wiring stacks.,Moderation,,Reasoned Inference,pass,Counterexample: two current storage backends make the port a present requirement.,medium,uncertain,,independent-review
P036,YAGNI,Data-Driven Design,pass,Both affect whether anticipated cases justify a table or interpreter.,pass,YAGNI prevents a generic rules engine for imagined variation; current regular cases can still justify a small typed table.,pass,The data representation covers only demonstrated dimensions.,Moderation,,Reasoned Inference,pass,Counterexample: a current catalog with dozens of uniform cases already needs table-driven handling.,medium,uncertain,,independent-review
P037,YAGNI,Make Illegal States Unrepresentable,pass,Both affect which invariants deserve representation machinery now.,pass,YAGNI limits type structure to current stable invariants rather than encoding hypothetical future workflow states.,pass,Wrapper and variant proliferation is avoided while present invalid combinations remain excluded.,Moderation,,Reasoned Inference,pass,Counterexample: a current money-transfer invariant warrants a precise type despite added declarations.,medium,uncertain,,independent-review
P038,YAGNI,"Parse, Don't Validate",fail,"YAGNI decides capability timing; Parse, Don't Validate decides raw-to-trusted boundary conversion.",fail,"No repeatable causal path from applying YAGNI to the Parse, Don't Validate decision follows from the profiles.",fail,Either decision can change without materially changing the other's required outcome.,Independence,,,pass,Counterexample: a team can defer an unused export format while making no decision about raw-to-trusted boundary conversion.,medium,reject,,independent-review
P039,YAGNI,"Tell, Don't Ask",fail,"YAGNI decides capability timing; Tell, Don't Ask decides ownership of state-dependent operations.",fail,"No repeatable causal path from applying YAGNI to the Tell, Don't Ask decision follows from the profiles.",fail,Either decision can change without materially changing the other's required outcome.,Independence,,,pass,Counterexample: a team can defer an unused export format while making no decision about ownership of state-dependent operations.,medium,reject,,independent-review
P040,YAGNI,Law of Demeter,fail,YAGNI decides capability timing; Law of Demeter decides collaborator knowledge depth.,fail,No repeatable causal path from applying YAGNI to the Law of Demeter decision follows from the profiles.,fail,Either decision can change without materially changing the other's required outcome.,Independence,,,pass,Counterexample: a team can defer an unused export format while making no decision about collaborator knowledge depth.,medium,reject,,independent-review
P041,YAGNI,Boy Scout Rule,pass,Both affect scope of optional work performed during a real task.,pass,Both require a current task boundary; YAGNI excludes unrelated future-proofing from incidental cleanup.,pass,Touched code can improve without turning the task into speculative redesign.,Reinforcement,Moderation,Reasoned Inference,pass,Counterexample: an adjacent public API redesign for a possible future client is outside Boy Scout scope.,medium,uncertain,,independent-review
P042,DRY,Rule of Three,pass,Both affect timing of extracting repeated representations.,pass,Rule of Three supplies evidence that repetitions share meaning and variation before DRY creates an authority; DRY may act sooner for an already-known fact.,pass,The extracted abstraction is less likely to merge independently owned lookalikes.,Sequencing,Moderation,Reasoned Inference,pass,Counterexample: duplicated copies of one authoritative schema should be unified immediately.,high,uncertain,,independent-review
P043,DRY,Occam's Razor,fail,DRY decides knowledge authority; Occam's Razor decides assumption and entity count.,fail,No repeatable causal path from applying DRY to the Occam's Razor decision follows from the profiles.,fail,Either decision can change without materially changing the other's required outcome.,Independence,,,pass,Counterexample: a team can centralize a tax-rate rule while making no decision about assumption and entity count.,medium,reject,,independent-review
P044,DRY,Principle of Least Power,fail,DRY decides knowledge authority; Principle of Least Power decides mechanism expressiveness.,fail,No repeatable causal path from applying DRY to the Principle of Least Power decision follows from the profiles.,fail,Either decision can change without materially changing the other's required outcome.,Independence,,,pass,Counterexample: a team can centralize a tax-rate rule while making no decision about mechanism expressiveness.,medium,reject,,independent-review
P045,DRY,Separation of Concerns,pass,Both affect ownership of repeated information across boundaries.,pass,Separation identifies distinct owners and change reasons; DRY centralizes only occurrences that remain one concern and one fact.,pass,"Identical syntax from independent policies stays separate, while shared knowledge gains one authority.",Complementary,,Reasoned Inference,pass,Counterexample: two departments can intentionally own identical thresholds that may diverge.,medium,uncertain,,independent-review
P046,DRY,Single Responsibility Principle,pass,Both affect whether similar code belongs under one owner.,pass,SRP's actor and change-reason test constrains DRY: only repetitions serving the same responsibility become one authority.,pass,Centralization does not couple modules to unrelated stakeholder changes.,Moderation,,Reasoned Inference,pass,Counterexample: tax and discount formulas that currently match but have different owners must remain separate.,medium,uncertain,,independent-review
P047,DRY,Composition over Inheritance,fail,DRY decides knowledge authority; Composition over Inheritance decides reuse and variation mechanism.,fail,No repeatable causal path from applying DRY to the Composition over Inheritance decision follows from the profiles.,fail,Either decision can change without materially changing the other's required outcome.,Independence,,,pass,Counterexample: a team can centralize a tax-rate rule while making no decision about reuse and variation mechanism.,medium,reject,,independent-review
P048,DRY,Convention over Configuration,pass,Both affect authority for routine repeated choices.,pass,A shared convention makes one default authoritative and removes repeated configuration copies that could diverge.,pass,Routine layout or naming changes occur in one convention rather than many files.,Reinforcement,,Reasoned Inference,pass,Counterexample: important tenant policy with frequent exceptions must remain explicit.,medium,uncertain,,independent-review
P049,DRY,Unix Philosophy,fail,DRY decides knowledge authority; Unix Philosophy decides component scope and composition interfaces.,fail,No repeatable causal path from applying DRY to the Unix Philosophy decision follows from the profiles.,fail,Either decision can change without materially changing the other's required outcome.,Independence,,,pass,Counterexample: a team can centralize a tax-rate rule while making no decision about component scope and composition interfaces.,medium,reject,,independent-review
P050,DRY,"Functional Core, Imperative Shell",pass,Both affect placement of repeated business policy.,pass,Moving deterministic decisions into one core gives shells a single callable authority instead of reimplementing policy around I/O.,pass,Policy changes stop requiring synchronized edits across effectful workflows.,Enablement,,Reasoned Inference,pass,Counterexample: two workflows with different rules should not be forced through one core.,medium,uncertain,,independent-review
P051,DRY,Negative Code,pass,Both affect removal of competing representations after choosing an authority.,pass,"Once DRY identifies the authoritative representation, safe deletion removes obsolete copies and their synchronization glue.",pass,A conceptual change touches fewer maintained artifacts.,Sequencing,,Reasoned Inference,pass,Counterexample: an explanatory duplicate required by an external contract cannot simply be deleted.,medium,uncertain,,independent-review
P052,DRY,Dead Code Elimination,fail,DRY decides knowledge authority; Dead Code Elimination decides artifact liveness.,fail,No repeatable causal path from applying DRY to the Dead Code Elimination decision follows from the profiles.,fail,Either decision can change without materially changing the other's required outcome.,Independence,,,pass,Counterexample: a team can centralize a tax-rate rule while making no decision about artifact liveness.,medium,reject,,independent-review
P053,DRY,Refactoring Toward Primitives,pass,Both affect authority for behavior already supplied by a platform.,pass,"A contract-equivalent primitive replaces a local competing implementation, making the maintained platform capability the implementation authority.",pass,Local edge-case fixes and compatibility logic no longer duplicate the primitive.,Complementary,,Reasoned Inference,pass,Counterexample: domain-specific semantics can require a separate local authority despite a similarly named API.,medium,uncertain,,independent-review
P054,DRY,Dependency Inversion Principle,fail,DRY decides knowledge authority; Dependency Inversion Principle decides policy/detail dependency direction.,fail,No repeatable causal path from applying DRY to the Dependency Inversion Principle decision follows from the profiles.,fail,Either decision can change without materially changing the other's required outcome.,Independence,,,pass,Counterexample: a team can centralize a tax-rate rule while making no decision about policy/detail dependency direction.,medium,reject,,independent-review
P055,DRY,Data-Driven Design,pass,Both affect representation of regular case knowledge.,pass,A typed table places varying case facts in one authority while one algorithm derives behavior instead of duplicating branches.,pass,Adding or correcting a case changes one visible row rather than several control paths.,Enablement,,Reasoned Inference,pass,Counterexample: cases with distinct algorithms should remain separate code.,medium,uncertain,,independent-review
P056,DRY,Make Illegal States Unrepresentable,pass,Both affect authority for stable domain invariants.,pass,Encoding an invariant in constructors or types lets consumers rely on one proof instead of duplicating defensive checks.,pass,Invariant changes and enforcement are centralized at construction.,Enablement,,Reasoned Inference,pass,Counterexample: authorization and inventory remain mutable facts that each use must check.,medium,uncertain,,independent-review
P057,DRY,"Parse, Don't Validate",pass,Both affect where structural input facts are established.,pass,"Parsing once preserves validated facts in a precise value, eliminating repeated validation against the same raw representation.",pass,Downstream callers share one trusted proof rather than many informal checks.,Enablement,,Reasoned Inference,pass,Counterexample: time-sensitive permissions cannot be made authoritative by one parse.,medium,uncertain,,independent-review
P058,DRY,"Tell, Don't Ask",pass,Both affect authority for a state-dependent invariant.,pass,Moving query-decide-mutate logic to the state owner replaces duplicated caller policies with one meaningful operation.,pass,All callers apply the same transition rule and bypass paths shrink.,Enablement,,Reasoned Inference,pass,Counterexample: read-only reporting legitimately derives views outside the owner.,medium,uncertain,,independent-review
P059,DRY,Law of Demeter,fail,DRY decides knowledge authority; Law of Demeter decides collaborator knowledge depth.,fail,No repeatable causal path from applying DRY to the Law of Demeter decision follows from the profiles.,fail,Either decision can change without materially changing the other's required outcome.,Independence,,,pass,Counterexample: a team can centralize a tax-rate rule while making no decision about collaborator knowledge depth.,medium,reject,,independent-review
P060,DRY,Boy Scout Rule,fail,DRY decides knowledge authority; Boy Scout Rule decides incidental cleanup scope.,fail,No repeatable causal path from applying DRY to the Boy Scout Rule decision follows from the profiles.,fail,Either decision can change without materially changing the other's required outcome.,Independence,,,pass,Counterexample: a team can centralize a tax-rate rule while making no decision about incidental cleanup scope.,medium,reject,,independent-review
P061,Rule of Three,Occam's Razor,pass,Both affect evidence required before introducing an abstraction entity.,pass,Concrete cases expose supported commonality; until then Occam treats the generalized concept as an unsupported assumption.,pass,Flags and exception-laden abstractions are less likely to enter the design.,Reinforcement,,Reasoned Inference,pass,Counterexample: a pre-existing authoritative domain concept supplies evidence without three implementations.,medium,uncertain,,independent-review
P062,Rule of Three,Principle of Least Power,pass,Both affect selection of an abstraction's expressive mechanism.,pass,"Observed cases reveal the operations and variation the extracted mechanism must express, allowing selection of the least power that actually suffices.",pass,The abstraction avoids both premature underfit and callback-heavy overgeneralization.,Sequencing,,Reasoned Inference,pass,Counterexample: a fixed formal schema can establish required expressiveness before multiple cases.,medium,uncertain,,independent-review
P063,Rule of Three,Separation of Concerns,fail,Rule of Three decides abstraction timing; Separation of Concerns decides concern boundaries.,fail,No repeatable causal path from applying Rule of Three to the Separation of Concerns decision follows from the profiles.,fail,Either decision can change without materially changing the other's required outcome.,Independence,,,pass,Counterexample: a team can wait through two differing implementations while making no decision about concern boundaries.,medium,reject,,independent-review
P064,Rule of Three,Single Responsibility Principle,fail,Rule of Three decides abstraction timing; Single Responsibility Principle decides module ownership.,fail,No repeatable causal path from applying Rule of Three to the Single Responsibility Principle decision follows from the profiles.,fail,Either decision can change without materially changing the other's required outcome.,Independence,,,pass,Counterexample: a team can wait through two differing implementations while making no decision about module ownership.,medium,reject,,independent-review
P065,Rule of Three,Composition over Inheritance,pass,Both affect when variation should become composable behavior.,pass,Multiple cases reveal independent variation axes before functions or collaborators are extracted and assembled.,pass,Composition fits observed combinations instead of speculative strategies.,Sequencing,,Reasoned Inference,pass,Counterexample: two current orthogonal providers already demonstrate the axes.,medium,uncertain,,independent-review
P066,Rule of Three,Convention over Configuration,pass,Both affect when repeated choices justify a default convention.,pass,Several concrete choices reveal a dominant stable case before it becomes implicit convention.,pass,The default is discoverable and exceptions remain fewer than explicit settings.,Sequencing,,Reasoned Inference,pass,Counterexample: an ecosystem standard can establish the convention before local repetition.,medium,uncertain,,independent-review
P067,Rule of Three,Unix Philosophy,fail,Rule of Three decides abstraction timing; Unix Philosophy decides component scope and composition interfaces.,fail,No repeatable causal path from applying Rule of Three to the Unix Philosophy decision follows from the profiles.,fail,Either decision can change without materially changing the other's required outcome.,Independence,,,pass,Counterexample: a team can wait through two differing implementations while making no decision about component scope and composition interfaces.,medium,reject,,independent-review
P068,Rule of Three,"Functional Core, Imperative Shell",fail,"Rule of Three decides abstraction timing; Functional Core, Imperative Shell decides placement of decisions and effects.",fail,"No repeatable causal path from applying Rule of Three to the Functional Core, Imperative Shell decision follows from the profiles.",fail,Either decision can change without materially changing the other's required outcome.,Independence,,,pass,Counterexample: a team can wait through two differing implementations while making no decision about placement of decisions and effects.,medium,reject,,independent-review
P069,Rule of Three,Negative Code,pass,Both affect when temporary duplication can be replaced and removed.,pass,"After cases reveal a stable concept, extraction permits safe removal of duplicated implementation and glue.",pass,Learning duplication does not become permanent inventory.,Sequencing,,Reasoned Inference,pass,Counterexample: unrelated lookalikes may justify indefinite duplication and no deletion.,medium,uncertain,,independent-review
P070,Rule of Three,Dead Code Elimination,fail,Rule of Three decides abstraction timing; Dead Code Elimination decides artifact liveness.,fail,No repeatable causal path from applying Rule of Three to the Dead Code Elimination decision follows from the profiles.,fail,Either decision can change without materially changing the other's required outcome.,Independence,,,pass,Counterexample: a team can wait through two differing implementations while making no decision about artifact liveness.,medium,reject,,independent-review
P071,Rule of Three,Refactoring Toward Primitives,fail,Rule of Three decides abstraction timing; Refactoring Toward Primitives decides custom-versus-existing capability.,fail,No repeatable causal path from applying Rule of Three to the Refactoring Toward Primitives decision follows from the profiles.,fail,Either decision can change without materially changing the other's required outcome.,Independence,,,pass,Counterexample: a team can wait through two differing implementations while making no decision about custom-versus-existing capability.,medium,reject,,independent-review
P072,Rule of Three,Dependency Inversion Principle,pass,Both affect when provider variation warrants a port.,pass,Concrete detail changes or providers reveal the narrow capability policy needs before a contract is extracted.,pass,The port avoids speculative methods and mock-driven shape.,Sequencing,,Reasoned Inference,pass,Counterexample: a current regulated vendor-isolation requirement supplies evidence before multiple providers.,medium,uncertain,,independent-review
P073,Rule of Three,Data-Driven Design,pass,Both affect when repeated branches should become a table.,pass,Comparing concrete cases establishes one shared algorithm and identifies the varying dimensions to encode as data.,pass,The resulting table has stable columns rather than callback-filled exceptions.,Sequencing,,Reasoned Inference,pass,Counterexample: known protocol opcodes can justify a table immediately.,medium,uncertain,,independent-review
P074,Rule of Three,Make Illegal States Unrepresentable,fail,Rule of Three decides abstraction timing; Make Illegal States Unrepresentable decides domain state representation.,fail,No repeatable causal path from applying Rule of Three to the Make Illegal States Unrepresentable decision follows from the profiles.,fail,Either decision can change without materially changing the other's required outcome.,Independence,,,pass,Counterexample: a team can wait through two differing implementations while making no decision about domain state representation.,medium,reject,,independent-review
P075,Rule of Three,"Parse, Don't Validate",fail,"Rule of Three decides abstraction timing; Parse, Don't Validate decides raw-to-trusted boundary conversion.",fail,"No repeatable causal path from applying Rule of Three to the Parse, Don't Validate decision follows from the profiles.",fail,Either decision can change without materially changing the other's required outcome.,Independence,,,pass,Counterexample: a team can wait through two differing implementations while making no decision about raw-to-trusted boundary conversion.,medium,reject,,independent-review
P076,Rule of Three,"Tell, Don't Ask",pass,Both affect when callers reveal a stable domain command.,pass,Repeated query-decide-mutate sequences expose the invariant and outcome needed from the owner.,pass,The extracted command is meaningful instead of a speculative pass-through.,Sequencing,,Reasoned Inference,pass,Counterexample: one dangerous bypass of a known invariant can justify moving the operation immediately.,medium,uncertain,,independent-review
P077,Rule of Three,Law of Demeter,fail,Rule of Three decides abstraction timing; Law of Demeter decides collaborator knowledge depth.,fail,No repeatable causal path from applying Rule of Three to the Law of Demeter decision follows from the profiles.,fail,Either decision can change without materially changing the other's required outcome.,Independence,,,pass,Counterexample: a team can wait through two differing implementations while making no decision about collaborator knowledge depth.,medium,reject,,independent-review
P078,Rule of Three,Boy Scout Rule,fail,Rule of Three decides abstraction timing; Boy Scout Rule decides incidental cleanup scope.,fail,No repeatable causal path from applying Rule of Three to the Boy Scout Rule decision follows from the profiles.,fail,Either decision can change without materially changing the other's required outcome.,Independence,,,pass,Counterexample: a team can wait through two differing implementations while making no decision about incidental cleanup scope.,medium,reject,,independent-review
P079,Occam's Razor,Principle of Least Power,pass,Both affect selection among adequate mechanisms.,pass,"A less expressive sufficient mechanism assumes fewer possible behaviors and side effects, satisfying Occam's demand for fewer unsupported entities.",pass,The chosen design is easier to analyze without losing required behavior.,Reinforcement,,Reasoned Inference,pass,Counterexample: a constrained representation that simulates a program introduces more assumptions than direct code.,high,uncertain,,independent-review
