pair_id,principle_a,principle_b,shared_surface,shared_surface_note,mechanism,mechanism_note,material_consequence,consequence_note,primary_type,secondary_types,evidence_grade,counterexample,context_dependence,confidence,disposition,dossier,journal_refs
P011,KISS,"Functional Core, Imperative Shell",fail,"Distinct operational decisions: KISS governs overall implementation and lifecycle complexity; Functional Core, Imperative Shell governs placement of deterministic decisions and effects. The profiles do not establish a shared or causal decision surface.",fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply KISS to overall implementation and lifecycle complexity while no decision concerning placement of deterministic decisions and effects arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P012,KISS,Negative Code,pass,Causally connected decisions: KISS governs overall implementation and lifecycle complexity; Negative Code governs net removal of owned machinery while preserving contract.,pass,A contract-preserving deletion pass directly reduces the concepts and obligations KISS counts.,pass,"After correctness is established, redundant layers, wrappers, options, and obsolete perimeter artifacts can be removed.",Reinforcement,,Convergent,Compressing readable code into a clever one-liner reduces lines but not whole-system complexity.,Applies when evidence shows an implementation slice is replaceable or redundant.,high,publish,pair-dossiers/P012-kiss-negative-code.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06;J-20260715-2015-07;J-20260715-2050-09
P013,KISS,Dead Code Elimination,pass,Causally connected decisions: KISS governs overall implementation and lifecycle complexity; Dead Code Elimination governs liveness within the supported system boundary.,pass,"Proven-dead behavior creates complexity without any supported outcome, so its removal is unambiguously consistent with KISS.",pass,"The change deletes false choices, branches, flags, and dependent artifacts after liveness analysis.",Reinforcement,,Convergent,A rarely used disaster-recovery path is live even when static search finds no callers.,Applies when the supported-system boundary proves the candidate unobservable.,high,publish,pair-dossiers/P013-kiss-dead-code-elimination.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06;J-20260715-2015-07;J-20260715-2050-09
P014,KISS,Refactoring Toward Primitives,pass,Causally connected decisions: KISS governs overall implementation and lifecycle complexity; Refactoring Toward Primitives governs replacement of custom code by existing capabilities.,pass,"An adequate existing primitive can remove custom implementation, tests, glue, and edge-case obligations from the whole design.",pass,The team chooses direct platform use when its exact semantics cost less than continuing to own custom machinery.,Reinforcement,,Convergent,A heavy dependency for a clear ten-line local function increases total complexity.,Applies when a primitive matches the required contract and support baseline.,high,publish,pair-dossiers/P014-kiss-refactoring-toward-primitives.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06;J-20260715-2015-07;J-20260715-2050-09
P015,KISS,Dependency Inversion Principle,pass,Causally connected decisions: KISS governs overall implementation and lifecycle complexity; Dependency Inversion Principle governs contract ownership and source-dependency direction.,pass,"A policy-owned boundary can simplify change around a volatile detail, but unjustified interfaces and containers add indirection.",pass,The implementation either uses a minimal domain-shaped function boundary or keeps a stable detail direct.,Tension,Moderation,Convergent,A fixed internal helper with no boundary role is simpler when called directly.,Applies when policy is coupled to a demonstrably volatile or external detail.,high,publish,pair-dossiers/P015-kiss-dependency-inversion-principle.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06;J-20260715-2015-07;J-20260715-2050-09
P016,KISS,Data-Driven Design,pass,Causally connected decisions: KISS governs overall implementation and lifecycle complexity; Data-Driven Design governs representation of regular variation as data or control flow.,pass,"A table can simplify regular branches, but a generic interpreter or callback-filled configuration can hide more complexity than direct control flow.",pass,The reviewer chooses a typed lookup only for regular cases and leaves irregular algorithms in code.,Moderation,Tension,Convergent,Three unrelated algorithms do not become simpler when stored as callbacks in a table.,Applies when cases share one algorithm and vary along inspectable dimensions.,high,publish,pair-dossiers/P016-kiss-data-driven-design.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06;J-20260715-2015-07;J-20260715-2050-09
P017,KISS,Make Illegal States Unrepresentable,pass,Causally connected decisions: KISS governs overall implementation and lifecycle complexity; Make Illegal States Unrepresentable governs representation and enforcement of stable invariants.,pass,"A precise representation removes downstream branches, but elaborate type machinery can cost more understanding than the invalid states it excludes.",pass,The model encodes only high-value stable invariants with the least elaborate adequate type or constructor.,Tension,,Convergent,A single local range check may be clearer than a novel advanced type encoding.,Applies when many consumers otherwise handle the same impossible combinations.,high,publish,pair-dossiers/P017-kiss-make-illegal-states-unrepresentable.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06;J-20260715-2015-07;J-20260715-2050-09
P018,KISS,"Parse, Don't Validate",fail,"Distinct operational decisions: KISS governs overall implementation and lifecycle complexity; Parse, Don't Validate governs conversion of raw input into trusted domain values. The profiles do not establish a shared or causal decision surface.",fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply KISS to overall implementation and lifecycle complexity while no decision concerning conversion of raw input into trusted domain values arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P019,KISS,"Tell, Don't Ask",fail,"Distinct operational decisions: KISS governs overall implementation and lifecycle complexity; Tell, Don't Ask governs ownership of state-dependent decisions and transitions. The profiles do not establish a shared or causal decision surface.",fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply KISS to overall implementation and lifecycle complexity while no decision concerning ownership of state-dependent decisions and transitions arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P020,KISS,Law of Demeter,fail,Distinct operational decisions: KISS governs overall implementation and lifecycle complexity; Law of Demeter governs knowledge of collaborators' internal structure. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply KISS to overall implementation and lifecycle complexity while no decision concerning knowledge of collaborators' internal structure arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P021,KISS,Boy Scout Rule,fail,Distinct operational decisions: KISS governs overall implementation and lifecycle complexity; Boy Scout Rule governs scope and timing of incidental local cleanup. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply KISS to overall implementation and lifecycle complexity while no decision concerning scope and timing of incidental local cleanup arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P022,YAGNI,DRY,pass,Causally connected decisions: YAGNI governs timing of capability and extensibility; DRY governs authority for changing knowledge.,pass,"YAGNI blocks abstractions built for predicted reuse, while DRY still requires one authority for duplicated knowledge that already changes together.",pass,The team distinguishes present duplicated authority from hypothetical future similarity before extracting.,Moderation,,Convergent,"A tax threshold already repeated in two production paths is present knowledge, not future capability.",Applies when deduplication is proposed before shared ownership or a current second consumer is established.,high,publish,pair-dossiers/P022-yagni-dry.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06;J-20260715-2015-07;J-20260715-2050-09
P023,YAGNI,Rule of Three,pass,Causally connected decisions: YAGNI governs timing of capability and extensibility; Rule of Three governs timing and scope of abstraction.,pass,Both defer abstraction until concrete need exists; repeated cases provide the missing evidence for current reuse.,pass,The second case may remain local and the third triggers comparison rather than automatic generalization.,Reinforcement,,Convergent,Immediate extraction can be justified when a security invariant already has one defined authority.,Applies when future variation is predicted but not yet observed.,high,publish,pair-dossiers/P023-yagni-rule-of-three.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06;J-20260715-2015-07;J-20260715-2050-09
P024,YAGNI,Occam's Razor,pass,Causally connected decisions: YAGNI governs timing of capability and extensibility; Occam's Razor governs selection among equally adequate designs or explanations.,pass,Presumptive capability rests on unsupported future assumptions that Occam's comparison asks designers not to multiply.,pass,An architecture option loses when its extra components are justified only by forecast consumers rather than current evidence.,Reinforcement,,Convergent,"A contracted future migration with an irreversible schema deadline is current evidence, not unsupported speculation.",Applies when otherwise adequate designs differ mainly in assumed future needs.,high,publish,pair-dossiers/P024-yagni-occam-s-razor.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06;J-20260715-2015-07;J-20260715-2050-09
P025,YAGNI,Principle of Least Power,fail,Distinct operational decisions: YAGNI governs timing of capability and extensibility; Principle of Least Power governs expressive power of the chosen mechanism. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply YAGNI to timing of capability and extensibility while no decision concerning expressive power of the chosen mechanism arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P026,YAGNI,Separation of Concerns,pass,Both affect whether to create a boundary for anticipated change.,fail,"Rejected hypothesis: YAGNI requires demonstrated independent rules, owners, or operations before paying for a stronger separation boundary.",fail,No context-independent implementation or review consequence was supported.,Independence,,Unsupported,pass,"A project-specific interaction may exist, but no general mechanism survived the evidence and counterexample tests.",medium,reject,pair-dossiers/P026-yagni-separation-of-concerns.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06
P027,YAGNI,Single Responsibility Principle,pass,Both affect whether predicted actors justify splitting a module.,fail,Rejected hypothesis: YAGNI rejects responsibility splits based only on hypothetical stakeholders; SRP proceeds when current independent actors and reasons are identifiable.,fail,No context-independent implementation or review consequence was supported.,Independence,,Unsupported,pass,"A project-specific interaction may exist, but no general mechanism survived the evidence and counterexample tests.",medium,reject,pair-dossiers/P027-yagni-single-responsibility-principle.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06
P028,YAGNI,Composition over Inheritance,pass,Both affect whether anticipated variation justifies a composition mechanism.,fail,Rejected hypothesis: YAGNI keeps fixed behavior direct until a current variation or replaceability need warrants collaborators and wiring.,fail,No context-independent implementation or review consequence was supported.,Independence,,Unsupported,pass,"A project-specific interaction may exist, but no general mechanism survived the evidence and counterexample tests.",medium,reject,pair-dossiers/P028-yagni-composition-over-inheritance.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06
P029,YAGNI,Convention over Configuration,pass,Causally connected decisions: YAGNI governs timing of capability and extensibility; Convention over Configuration governs routine defaults versus explicit exceptions.,fail,Rejected hypothesis: A convention serves the current dominant case without adding knobs for exceptions that do not yet exist.,fail,No context-independent implementation or review consequence was supported.,Independence,,Unsupported,Known tenant-specific retention rules are real exceptions and must remain explicit.,"A project-specific interaction may exist, but no general mechanism survived the evidence and counterexample tests.",medium,reject,pair-dossiers/P029-yagni-convention-over-configuration.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06
P030,YAGNI,Unix Philosophy,pass,Both affect whether decomposition is justified by current composition needs.,fail,Rejected hypothesis: YAGNI rejects splitting a cohesive tool solely for hypothetical reuse or pipeline consumers.,fail,No context-independent implementation or review consequence was supported.,Independence,,Unsupported,pass,"A project-specific interaction may exist, but no general mechanism survived the evidence and counterexample tests.",medium,reject,pair-dossiers/P030-yagni-unix-philosophy.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06
P031,YAGNI,"Functional Core, Imperative Shell",fail,"Distinct operational decisions: YAGNI governs timing of capability and extensibility; Functional Core, Imperative Shell governs placement of deterministic decisions and effects. The profiles do not establish a shared or causal decision surface.",fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply YAGNI to timing of capability and extensibility while no decision concerning placement of deterministic decisions and effects arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P032,YAGNI,Negative Code,pass,Both affect lifecycle treatment of unneeded capability.,fail,Rejected hypothesis: YAGNI prevents new speculative capability; Negative Code removes already-owned machinery once its contract can be retired safely.,fail,No context-independent implementation or review consequence was supported.,Independence,,Unsupported,pass,"A project-specific interaction may exist, but no general mechanism survived the evidence and counterexample tests.",medium,reject,pair-dossiers/P032-yagni-negative-code.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06
P033,YAGNI,Dead Code Elimination,fail,Distinct operational decisions: YAGNI governs timing of capability and extensibility; Dead Code Elimination governs liveness within the supported system boundary. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply YAGNI to timing of capability and extensibility while no decision concerning liveness within the supported system boundary arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P034,YAGNI,Refactoring Toward Primitives,fail,Distinct operational decisions: YAGNI governs timing of capability and extensibility; Refactoring Toward Primitives governs replacement of custom code by existing capabilities. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply YAGNI to timing of capability and extensibility while no decision concerning replacement of custom code by existing capabilities arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P035,YAGNI,Dependency Inversion Principle,pass,Causally connected decisions: YAGNI governs timing of capability and extensibility; Dependency Inversion Principle governs contract ownership and source-dependency direction.,pass,YAGNI prevents DIP boundaries invented for hypothetical providers; DIP remains justified for an existing volatile detail or policy isolation need.,pass,The implementation uses a direct dependency or the narrowest present boundary based on demonstrated volatility.,Moderation,,Direct,An unstable vendor SDK already leaking into core policy creates a current inversion need.,Applies when an abstraction is proposed solely because another implementation might arrive.,high,publish,pair-dossiers/P035-yagni-dependency-inversion-principle.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06;J-20260715-2015-07;J-20260715-2050-09
P036,YAGNI,Data-Driven Design,pass,Causally connected decisions: YAGNI governs timing of capability and extensibility; Data-Driven Design governs representation of regular variation as data or control flow.,pass,YAGNI rejects generic rule engines and remote configuration built for imagined cases while allowing a direct table for current regular variation.,pass,"The solution encodes only present rows and one current algorithm, without speculative expression features.",Moderation,,Convergent,Five current status mappings can justify a typed local table without any future hypothesis.,Applies when table-driven refactoring is expanding into a future-facing rules platform.,high,publish,pair-dossiers/P036-yagni-data-driven-design.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06;J-20260715-2015-07;J-20260715-2050-09
P037,YAGNI,Make Illegal States Unrepresentable,pass,Both affect which invariants deserve representation machinery now.,fail,Rejected hypothesis: YAGNI limits type structure to current stable invariants rather than encoding hypothetical future workflow states.,fail,No context-independent implementation or review consequence was supported.,Independence,,Unsupported,pass,"A project-specific interaction may exist, but no general mechanism survived the evidence and counterexample tests.",medium,reject,pair-dossiers/P037-yagni-make-illegal-states-unrepresentable.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06
P038,YAGNI,"Parse, Don't Validate",fail,"Distinct operational decisions: YAGNI governs timing of capability and extensibility; Parse, Don't Validate governs conversion of raw input into trusted domain values. The profiles do not establish a shared or causal decision surface.",fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply YAGNI to timing of capability and extensibility while no decision concerning conversion of raw input into trusted domain values arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P039,YAGNI,"Tell, Don't Ask",fail,"Distinct operational decisions: YAGNI governs timing of capability and extensibility; Tell, Don't Ask governs ownership of state-dependent decisions and transitions. The profiles do not establish a shared or causal decision surface.",fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply YAGNI to timing of capability and extensibility while no decision concerning ownership of state-dependent decisions and transitions arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P040,YAGNI,Law of Demeter,fail,Distinct operational decisions: YAGNI governs timing of capability and extensibility; Law of Demeter governs knowledge of collaborators' internal structure. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply YAGNI to timing of capability and extensibility while no decision concerning knowledge of collaborators' internal structure arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P041,YAGNI,Boy Scout Rule,pass,Both affect scope of optional work performed during a real task.,fail,Rejected hypothesis: Both require a current task boundary; YAGNI excludes unrelated future-proofing from incidental cleanup.,fail,No context-independent implementation or review consequence was supported.,Independence,,Unsupported,pass,"A project-specific interaction may exist, but no general mechanism survived the evidence and counterexample tests.",medium,reject,pair-dossiers/P041-yagni-boy-scout-rule.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06
P042,DRY,Rule of Three,pass,Causally connected decisions: DRY governs authority for changing knowledge; Rule of Three governs timing and scope of abstraction.,pass,The Rule of Three distinguishes proven duplicated knowledge from coincidental repeated syntax before DRY introduces shared authority.,pass,"The team compares meaning, ownership, and reasons for change, then extracts only the stable common fact.",Moderation,Sequencing,Direct,A formally defined protocol field should have one authority even before three handwritten copies exist.,Applies when repeated-looking code may or may not be one authority.,high,publish,pair-dossiers/P042-dry-rule-of-three.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06;J-20260715-2015-07;J-20260715-2050-09
P043,DRY,Occam's Razor,fail,Distinct operational decisions: DRY governs authority for changing knowledge; Occam's Razor governs selection among equally adequate designs or explanations. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply DRY to authority for changing knowledge while no decision concerning selection among equally adequate designs or explanations arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P044,DRY,Principle of Least Power,fail,Distinct operational decisions: DRY governs authority for changing knowledge; Principle of Least Power governs expressive power of the chosen mechanism. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply DRY to authority for changing knowledge while no decision concerning expressive power of the chosen mechanism arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P045,DRY,Separation of Concerns,pass,Causally connected decisions: DRY governs authority for changing knowledge; Separation of Concerns governs logical boundaries between kinds of decisions.,pass,"DRY pulls one fact toward one authority, while separation keeps independently changing knowledge apart even when implementations look the same.",pass,The design centralizes only cross-boundary facts that truly share ownership and leaves coincidental duplication local.,Complementary,,Convergent,One schema consumed by UI and API is shared knowledge and may legitimately generate both representations.,Applies when similar code appears in concerns owned by different actors or rates of change.,high,publish,pair-dossiers/P045-dry-separation-of-concerns.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06;J-20260715-2015-07;J-20260715-2050-09
P046,DRY,Single Responsibility Principle,pass,Causally connected decisions: DRY governs authority for changing knowledge; Single Responsibility Principle governs module cohesion around reasons for change.,pass,SRP's reasons-for-change test determines whether repeated code is one shared responsibility or two independent authorities.,pass,A deduplication is accepted only when all callers should change for the same actor and business reason.,Moderation,,Convergent,Identical age and page-size constants remain separate because their actors and change reasons differ.,Applies when candidate copies sit in modules with possibly different responsible actors.,high,publish,pair-dossiers/P046-dry-single-responsibility-principle.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06;J-20260715-2015-07;J-20260715-2050-09
P047,DRY,Composition over Inheritance,fail,Distinct operational decisions: DRY governs authority for changing knowledge; Composition over Inheritance governs reuse and variation mechanism. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply DRY to authority for changing knowledge while no decision concerning reuse and variation mechanism arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P048,DRY,Convention over Configuration,pass,Causally connected decisions: DRY governs authority for changing knowledge; Convention over Configuration governs routine defaults versus explicit exceptions.,pass,A convention makes one shared default authoritative instead of duplicating the same routine choice in many configuration files.,pass,Repeated configuration is removed and exceptional values remain explicit at their point of ownership.,Reinforcement,,Convergent,Different regulatory settings are independent policy and should not be collapsed into a naming convention.,Applies when many instances restate the same non-domain choice.,high,publish,pair-dossiers/P048-dry-convention-over-configuration.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06;J-20260715-2015-07;J-20260715-2050-09
P049,DRY,Unix Philosophy,fail,Distinct operational decisions: DRY governs authority for changing knowledge; Unix Philosophy governs component scope and composition interface. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply DRY to authority for changing knowledge while no decision concerning component scope and composition interface arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P050,DRY,"Functional Core, Imperative Shell",pass,Both affect placement of repeated business policy.,fail,Rejected hypothesis: Moving deterministic decisions into one core gives shells a single callable authority instead of reimplementing policy around I/O.,fail,No context-independent implementation or review consequence was supported.,Independence,,Unsupported,pass,"A project-specific interaction may exist, but no general mechanism survived the evidence and counterexample tests.",medium,reject,pair-dossiers/P050-dry-functional-core-imperative-shell.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06
